title_i,title_j,cosine_similarity
Endovascular Treatment of Intracranial Aneurysms With Radioactive Coils,High resolution soft-x-ray tomography of sawtooth oscillations on the Tokamak de Varennes,0.120231
Endovascular Treatment of Intracranial Aneurysms With Radioactive Coils,Various divertor biasing configurations and improved divertor performance with biasing on Tokamak de Varennes (TdeV)*,0.247464
Endovascular Treatment of Intracranial Aneurysms With Radioactive Coils,Tomographic analysis of compound sawteeth on the Tokamak de Varennes,0.082932
Endovascular Treatment of Intracranial Aneurysms With Radioactive Coils,Re‐evaluation of the dose to the cyst wall in P‐32 radiocolloid treatments of cystic brain tumors using the Dose–Point–Kernel and Monte Carlo methods,0.359037
Endovascular Treatment of Intracranial Aneurysms With Radioactive Coils,Modelling of the continuum X-ray spectra produced by anisotropic electron distributions in tokamak plasmas under LHCD conditions,0.129252
Endovascular Treatment of Intracranial Aneurysms With Radioactive Coils,In Situ Beta Radiation to Prevent Recanalization After Coil Embolization of Cerebral Aneurysms,0.849035
Endovascular Treatment of Intracranial Aneurysms With Radioactive Coils,Dose model for a beta-emitting stent in a realistic artery consisting of soft tissue and plaque,0.388081
Endovascular Treatment of Intracranial Aneurysms With Radioactive Coils,Soft x-ray imaging diagnostic on the TdeV tokamak,0.199698
Endovascular Treatment of Intracranial Aneurysms With Radioactive Coils,Accurate determination of dose‐point‐kernel functions close to the origin using Monte Carlo simulations,0.162489
Endovascular Treatment of Intracranial Aneurysms With Radioactive Coils,A study of the Tokamak de Varennes plasma during fast current ramp-down: Experiment and simulation results with the TSC code,0.167107
Endovascular Treatment of Intracranial Aneurysms With Radioactive Coils,Dosimetry Study of [I-131] and [I-125]-Meta-Iodobenzyl Guanidine in a Simulating Model for Neuroblastoma Metastasis,0.351917
Endovascular Treatment of Intracranial Aneurysms With Radioactive Coils,In Situ β-Irradiation of a Brain Arteriovenous Malformation Model,0.533522
Endovascular Treatment of Intracranial Aneurysms With Radioactive Coils,Radiation dose from a phosphorous-32 impregnated wire mesh vascular stent,0.447767
Endovascular Treatment of Intracranial Aneurysms With Radioactive Coils,Simulations of current density profile control using lower hybrid current drive in the TdeV Tokamak,0.132957
Endovascular Treatment of Intracranial Aneurysms With Radioactive Coils,Electron temperature measurement from the ECE diagnostics in tokamak plasmas under transient conditions,0.141264
Endovascular Treatment of Intracranial Aneurysms With Radioactive Coils,Safety and Effectiveness of Radioactive Coil Embolization of Aneurysms,0.714235
Endovascular Treatment of Intracranial Aneurysms With Radioactive Coils,Dosimetry of PET Tracers in Mice Using microPET Scans as an Input Function,0.346498
Endovascular Treatment of Intracranial Aneurysms With Radioactive Coils,A dose‐point‐kernel model for a low energy gamma‐emitting stent in a heterogeneous medium,0.407699
Endovascular Treatment of Intracranial Aneurysms With Radioactive Coils,Improvements in recycling and impurity control obtained by divertor biasing,0.187749
Endovascular Treatment of Intracranial Aneurysms With Radioactive Coils,Feasibility of Radioactive Embolization of Intracranial Aneurysms Using <sup>32</sup> P-Implanted Coils,0.93886
Endovascular Treatment of Intracranial Aneurysms With Radioactive Coils,Characterization of the Tokamak de Varennes ohmic plasma in equilibrium,0.183992
Endovascular Treatment of Intracranial Aneurysms With Radioactive Coils,Dose model for stent-based delivery of a radioactive compound for the treatment of restenosis in coronary arteries,0.453222
Endovascular Treatment of Intracranial Aneurysms With Radioactive Coils,The effect of divertor plate biasing on impurity transport and levels in the central plasma of TdeV,0.169805
Endovascular Treatment of Intracranial Aneurysms With Radioactive Coils,&lt;title&gt;3D nonlinear registration algorithm for brain SPECT imaging within the Talairach reference system&lt;/title&gt;,0.150718
Endovascular Treatment of Intracranial Aneurysms With Radioactive Coils,Interpretation of perturbed temperature based on X-ray emissivity in fusion plasma experiments,0.104444
Endovascular Treatment of Intracranial Aneurysms With Radioactive Coils,&lt;title&gt;Brain SPECT imaging within the Talairach reference system: a simple registration algorithm&lt;/title&gt;,0.218366
Endovascular Treatment of Intracranial Aneurysms With Radioactive Coils,An exact formula for the thermal and particle diffusivities based on the diffusive transport model in tokamak plasmas,0.085354
Endovascular Treatment of Intracranial Aneurysms With Radioactive Coils,Radioactive stents for intravascular brachytherapy,0.475083
Endovascular Treatment of Intracranial Aneurysms With Radioactive Coils,PROOF COPY 013201JEI Comparison of deconvolution techniques using a distribution mixture parameter estimation: Application in single photon emission computed tomography imagery,0.202488
Endovascular Treatment of Intracranial Aneurysms With Radioactive Coils,Radioactive Coil Embolisation of Intracranial Aneurysms,0.821773
Endovascular Treatment of Intracranial Aneurysms With Radioactive Coils,Dose delivery accuracy from (32)P-oligodeoxynucleotide-coated coils and associated risks of usage in humans.,0.601244
High resolution soft-x-ray tomography of sawtooth oscillations on the Tokamak de Varennes,Various divertor biasing configurations and improved divertor performance with biasing on Tokamak de Varennes (TdeV)*,0.418193
High resolution soft-x-ray tomography of sawtooth oscillations on the Tokamak de Varennes,Tomographic analysis of compound sawteeth on the Tokamak de Varennes,0.688816
High resolution soft-x-ray tomography of sawtooth oscillations on the Tokamak de Varennes,Re‐evaluation of the dose to the cyst wall in P‐32 radiocolloid treatments of cystic brain tumors using the Dose–Point–Kernel and Monte Carlo methods,0.021856
High resolution soft-x-ray tomography of sawtooth oscillations on the Tokamak de Varennes,Modelling of the continuum X-ray spectra produced by anisotropic electron distributions in tokamak plasmas under LHCD conditions,0.675424
High resolution soft-x-ray tomography of sawtooth oscillations on the Tokamak de Varennes,In Situ Beta Radiation to Prevent Recanalization After Coil Embolization of Cerebral Aneurysms,0.180225
High resolution soft-x-ray tomography of sawtooth oscillations on the Tokamak de Varennes,Dose model for a beta-emitting stent in a realistic artery consisting of soft tissue and plaque,0.140926
High resolution soft-x-ray tomography of sawtooth oscillations on the Tokamak de Varennes,Soft x-ray imaging diagnostic on the TdeV tokamak,0.695662
High resolution soft-x-ray tomography of sawtooth oscillations on the Tokamak de Varennes,Accurate determination of dose‐point‐kernel functions close to the origin using Monte Carlo simulations,0.296383
High resolution soft-x-ray tomography of sawtooth oscillations on the Tokamak de Varennes,A study of the Tokamak de Varennes plasma during fast current ramp-down: Experiment and simulation results with the TSC code,0.587749
High resolution soft-x-ray tomography of sawtooth oscillations on the Tokamak de Varennes,Dosimetry Study of [I-131] and [I-125]-Meta-Iodobenzyl Guanidine in a Simulating Model for Neuroblastoma Metastasis,0.001489
High resolution soft-x-ray tomography of sawtooth oscillations on the Tokamak de Varennes,In Situ β-Irradiation of a Brain Arteriovenous Malformation Model,0.170152
High resolution soft-x-ray tomography of sawtooth oscillations on the Tokamak de Varennes,Radiation dose from a phosphorous-32 impregnated wire mesh vascular stent,0.177074
High resolution soft-x-ray tomography of sawtooth oscillations on the Tokamak de Varennes,Simulations of current density profile control using lower hybrid current drive in the TdeV Tokamak,0.350669
High resolution soft-x-ray tomography of sawtooth oscillations on the Tokamak de Varennes,Electron temperature measurement from the ECE diagnostics in tokamak plasmas under transient conditions,0.504479
High resolution soft-x-ray tomography of sawtooth oscillations on the Tokamak de Varennes,Safety and Effectiveness of Radioactive Coil Embolization of Aneurysms,0.102369
High resolution soft-x-ray tomography of sawtooth oscillations on the Tokamak de Varennes,Dosimetry of PET Tracers in Mice Using microPET Scans as an Input Function,0.045417
High resolution soft-x-ray tomography of sawtooth oscillations on the Tokamak de Varennes,A dose‐point‐kernel model for a low energy gamma‐emitting stent in a heterogeneous medium,0.150367
High resolution soft-x-ray tomography of sawtooth oscillations on the Tokamak de Varennes,Improvements in recycling and impurity control obtained by divertor biasing,0.4753
High resolution soft-x-ray tomography of sawtooth oscillations on the Tokamak de Varennes,Feasibility of Radioactive Embolization of Intracranial Aneurysms Using <sup>32</sup> P-Implanted Coils,0.119069
High resolution soft-x-ray tomography of sawtooth oscillations on the Tokamak de Varennes,Characterization of the Tokamak de Varennes ohmic plasma in equilibrium,0.608368
