title_i,title_j,cosine_similarity
D3-D7 inflationary model and M theory,Nonlocal field theories and their gravity duals,0.484139
D3-D7 inflationary model and M theory,de Sitter vacua in type IIB string theory: classical solutions and quantum corrections,0.61122
D3-D7 inflationary model and M theory,Cosmological ultraviolet/infrared divergences and de Sitter spacetime,0.501374
D3-D7 inflationary model and M theory,de Sitter vacua in the string landscape,0.657559
D3-D7 inflationary model and M theory,Reheating after S-brane ekpyrosis,0.589153
D3-D7 inflationary model and M theory,Bulk viscosity at extreme limits: from kinetic theory to strings,0.396848
D3-D7 inflationary model and M theory,de Sitter Space as a Glauber‐Sudarshan State: II,0.642577
D3-D7 inflationary model and M theory,Gauge/gravity duality in heterotic string theory,0.587181
D3-D7 inflationary model and M theory,Resurgence of a de Sitter Glauber‐Sudarshan State: Nodal Diagrams and Borel Resummation,0.594036
D3-D7 inflationary model and M theory,"Knot invariants and M-theory: Hitchin equations, Chern-Simons actions, and surface operators",0.472688
D3-D7 inflationary model and M theory,Purely nonperturbative AdS vacua and the swampland,0.541695
D3-D7 inflationary model and M theory,What if string theory has a de Sitter excited state?,0.665299
D3-D7 inflationary model and M theory,de Sitter State in Heterotic String Theory,0.560806
D3-D7 inflationary model and M theory,"Glauber-Sudarshan states, wave functional of the Universe and the Wheeler-De Witt equation",0.566953
D3-D7 inflationary model and M theory,Open/Closed String Dualities and Seiberg Duality from Geometric Transitions in M-theory,0.54613
D3-D7 inflationary model and M theory,"Toward large<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi>N</mml:mi></mml:math>thermal QCD from dual gravity: The heavy quarkonium potential",0.475302
D3-D7 inflationary model and M theory,Fermions on the antibrane: Higher order interactions and spontaneously broken supersymmetry,0.63354
D3-D7 inflationary model and M theory,"Nonextremality, chemical potential, and the infrared limit of large<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi>N</mml:mi></mml:math>thermal QCD",0.466796
D3-D7 inflationary model and M theory,"Non-Kähler resolved conifold, localized fluxes in M-theory and supersymmetry",0.557866
D3-D7 inflationary model and M theory,"Ultraviolet complete model of large<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi>N</mml:mi></mml:math>thermal QCD",0.347105
D3-D7 inflationary model and M theory,Coherent states in M-theory: A brane scan using the Taub-NUT geometry,0.584699
D3-D7 inflationary model and M theory,Study of structure formation and reheating in the D3/D7 brane inflation model,0.606218
D3-D7 inflationary model and M theory,KÄHLER VERSUS NON-KÄHLER COMPACTIFICATIONS,0.435395
D3-D7 inflationary model and M theory,Magnetic fields from heterotic cosmic strings,0.644852
D3-D7 inflationary model and M theory,Toward the gravity dual of heterotic small instantons,0.613127
D3-D7 inflationary model and M theory,A holographic model for large N thermal QCD,0.515437
D3-D7 inflationary model and M theory,"Renormalization group flow, stability, and bulk viscosity in a large <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi>N</mml:mi></mml:math> thermal QCD model",0.462534
D3-D7 inflationary model and M theory,"Geometric Transitions, Non-Kahler Geometries and String Vacua",0.396562
D3-D7 inflationary model and M theory,The Double Life of Thermal QCD,0.398771
D3-D7 inflationary model and M theory,"Non-Kähler deformed conifold, ultraviolet completion and supersymmetric constraints in the baryonic branch",0.542528
D3-D7 inflationary model and M theory,Four-Dimensional Null Energy Condition as a Swampland Conjecture,0.572447
D3-D7 inflationary model and M theory,The BPS Spectrum of M-Theory on a PP-Wave,0.40854
D3-D7 inflationary model and M theory,Kahler versus Non-Kahler Compactifications,0.435395
D3-D7 inflationary model and M theory,Resurgence of a de Sitter Glauber-Sudarshan State: Nodal Diagrams and Borel Resummation,0.586936
D3-D7 inflationary model and M theory,de Sitter Vacua in the String landscape: La Petite Version,0.566257
D3-D7 inflationary model and M theory,"Infrared dynamics of a large N QCD model, the massless string sector and mesonic spectra",0.491989
D3-D7 inflationary model and M theory,"Axions from heterotic stringThis paper was presented at the Theory CANADA 4 conference, held at Centre de recherches mathématiques, Montréal, Québec, Canada on 4–7 June 2008.",0.497003
D3-D7 inflationary model and M theory,Vector Meson Spectrum from top-down Holographic QCD,0.541729
D3-D7 inflationary model and M theory,On bulk viscosity at weak and strong ’t Hooft couplings,0.355435
D3-D7 inflationary model and M theory,"Non-Kahler Deformed Conifold, Ultra-Violet Completion and Supersymmetric\n Constraints in the Baryonic Branch",0.575182
D3-D7 inflationary model and M theory,Coherent States in M-Theory: A Brane Scan using the Taub-NUT,0.588983
D3-D7 inflationary model and M theory,Collective field theory of gauged multi-matrix models: Integrating out off-diagonal strings,0.294054
D3-D7 inflationary model and M theory,Wheeler-De Witt equation and the Canonical Construction of the Glauber-Sudarshan States in Quantum Gravity,0.488237
D3-D7 inflationary model and M theory,de Sitter Excited State in Heterotic E_8 x E_8 Theory,0.580359
D3-D7 inflationary model and M theory,de Sitter Excited State in Heterotic E8×E8${\rm E}_8 \times {\rm E}_8$ Theory,0.580033
D3-D7 inflationary model and M theory,Transient de Sitter and Quasi de Sitter States in SO(32) and E_8 x E_8 Heterotic String Theories,0.601406
Nonlocal field theories and their gravity duals,de Sitter vacua in type IIB string theory: classical solutions and quantum corrections,0.423997
Nonlocal field theories and their gravity duals,Cosmological ultraviolet/infrared divergences and de Sitter spacetime,0.426427
Nonlocal field theories and their gravity duals,de Sitter vacua in the string landscape,0.437823
Nonlocal field theories and their gravity duals,Reheating after S-brane ekpyrosis,0.399264
Nonlocal field theories and their gravity duals,Bulk viscosity at extreme limits: from kinetic theory to strings,0.433998
Nonlocal field theories and their gravity duals,de Sitter Space as a Glauber‐Sudarshan State: II,0.506353
Nonlocal field theories and their gravity duals,Gauge/gravity duality in heterotic string theory,0.546937
Nonlocal field theories and their gravity duals,Resurgence of a de Sitter Glauber‐Sudarshan State: Nodal Diagrams and Borel Resummation,0.448306
Nonlocal field theories and their gravity duals,"Knot invariants and M-theory: Hitchin equations, Chern-Simons actions, and surface operators",0.48443
Nonlocal field theories and their gravity duals,Purely nonperturbative AdS vacua and the swampland,0.48292
Nonlocal field theories and their gravity duals,What if string theory has a de Sitter excited state?,0.530526
Nonlocal field theories and their gravity duals,de Sitter State in Heterotic String Theory,0.476163
Nonlocal field theories and their gravity duals,"Glauber-Sudarshan states, wave functional of the Universe and the Wheeler-De Witt equation",0.458833
Nonlocal field theories and their gravity duals,Open/Closed String Dualities and Seiberg Duality from Geometric Transitions in M-theory,0.46274
Nonlocal field theories and their gravity duals,"Toward large<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi>N</mml:mi></mml:math>thermal QCD from dual gravity: The heavy quarkonium potential",0.518218
Nonlocal field theories and their gravity duals,Fermions on the antibrane: Higher order interactions and spontaneously broken supersymmetry,0.412902
Nonlocal field theories and their gravity duals,"Nonextremality, chemical potential, and the infrared limit of large<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi>N</mml:mi></mml:math>thermal QCD",0.443108
Nonlocal field theories and their gravity duals,"Non-Kähler resolved conifold, localized fluxes in M-theory and supersymmetry",0.457288
Nonlocal field theories and their gravity duals,"Ultraviolet complete model of large<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi>N</mml:mi></mml:math>thermal QCD",0.360067
Nonlocal field theories and their gravity duals,Coherent states in M-theory: A brane scan using the Taub-NUT geometry,0.510342
Nonlocal field theories and their gravity duals,Study of structure formation and reheating in the D3/D7 brane inflation model,0.248875
Nonlocal field theories and their gravity duals,KÄHLER VERSUS NON-KÄHLER COMPACTIFICATIONS,0.335409
Nonlocal field theories and their gravity duals,Magnetic fields from heterotic cosmic strings,0.390885
Nonlocal field theories and their gravity duals,Toward the gravity dual of heterotic small instantons,0.529953
Nonlocal field theories and their gravity duals,A holographic model for large N thermal QCD,0.479069
Nonlocal field theories and their gravity duals,"Renormalization group flow, stability, and bulk viscosity in a large <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi>N</mml:mi></mml:math> thermal QCD model",0.45982
Nonlocal field theories and their gravity duals,"Geometric Transitions, Non-Kahler Geometries and String Vacua",0.407138
Nonlocal field theories and their gravity duals,The Double Life of Thermal QCD,0.442688
Nonlocal field theories and their gravity duals,"Non-Kähler deformed conifold, ultraviolet completion and supersymmetric constraints in the baryonic branch",0.529452
Nonlocal field theories and their gravity duals,Four-Dimensional Null Energy Condition as a Swampland Conjecture,0.438981
Nonlocal field theories and their gravity duals,The BPS Spectrum of M-Theory on a PP-Wave,0.343405
Nonlocal field theories and their gravity duals,Kahler versus Non-Kahler Compactifications,0.335409
Nonlocal field theories and their gravity duals,Resurgence of a de Sitter Glauber-Sudarshan State: Nodal Diagrams and Borel Resummation,0.463078
Nonlocal field theories and their gravity duals,de Sitter Vacua in the String landscape: La Petite Version,0.430183
Nonlocal field theories and their gravity duals,"Infrared dynamics of a large N QCD model, the massless string sector and mesonic spectra",0.47686
Nonlocal field theories and their gravity duals,"Axions from heterotic stringThis paper was presented at the Theory CANADA 4 conference, held at Centre de recherches mathématiques, Montréal, Québec, Canada on 4–7 June 2008.",0.355566
Nonlocal field theories and their gravity duals,Vector Meson Spectrum from top-down Holographic QCD,0.476268
Nonlocal field theories and their gravity duals,On bulk viscosity at weak and strong ’t Hooft couplings,0.398919
Nonlocal field theories and their gravity duals,"Non-Kahler Deformed Conifold, Ultra-Violet Completion and Supersymmetric\n Constraints in the Baryonic Branch",0.504917
Nonlocal field theories and their gravity duals,Coherent States in M-Theory: A Brane Scan using the Taub-NUT,0.513333
Nonlocal field theories and their gravity duals,Collective field theory of gauged multi-matrix models: Integrating out off-diagonal strings,0.409004
Nonlocal field theories and their gravity duals,Wheeler-De Witt equation and the Canonical Construction of the Glauber-Sudarshan States in Quantum Gravity,0.459156
Nonlocal field theories and their gravity duals,de Sitter Excited State in Heterotic E_8 x E_8 Theory,0.394035
Nonlocal field theories and their gravity duals,de Sitter Excited State in Heterotic E8×E8${\rm E}_8 \times {\rm E}_8$ Theory,0.405084
Nonlocal field theories and their gravity duals,Transient de Sitter and Quasi de Sitter States in SO(32) and E_8 x E_8 Heterotic String Theories,0.449
de Sitter vacua in type IIB string theory: classical solutions and quantum corrections,Cosmological ultraviolet/infrared divergences and de Sitter spacetime,0.481196
de Sitter vacua in type IIB string theory: classical solutions and quantum corrections,de Sitter vacua in the string landscape,0.689403
de Sitter vacua in type IIB string theory: classical solutions and quantum corrections,Reheating after S-brane ekpyrosis,0.435484
de Sitter vacua in type IIB string theory: classical solutions and quantum corrections,Bulk viscosity at extreme limits: from kinetic theory to strings,0.286241
de Sitter vacua in type IIB string theory: classical solutions and quantum corrections,de Sitter Space as a Glauber‐Sudarshan State: II,0.685917
de Sitter vacua in type IIB string theory: classical solutions and quantum corrections,Gauge/gravity duality in heterotic string theory,0.589198
de Sitter vacua in type IIB string theory: classical solutions and quantum corrections,Resurgence of a de Sitter Glauber‐Sudarshan State: Nodal Diagrams and Borel Resummation,0.599634
de Sitter vacua in type IIB string theory: classical solutions and quantum corrections,"Knot invariants and M-theory: Hitchin equations, Chern-Simons actions, and surface operators",0.443232
de Sitter vacua in type IIB string theory: classical solutions and quantum corrections,Purely nonperturbative AdS vacua and the swampland,0.549446
de Sitter vacua in type IIB string theory: classical solutions and quantum corrections,What if string theory has a de Sitter excited state?,0.680229
de Sitter vacua in type IIB string theory: classical solutions and quantum corrections,de Sitter State in Heterotic String Theory,0.59249
de Sitter vacua in type IIB string theory: classical solutions and quantum corrections,"Glauber-Sudarshan states, wave functional of the Universe and the Wheeler-De Witt equation",0.551064
de Sitter vacua in type IIB string theory: classical solutions and quantum corrections,Open/Closed String Dualities and Seiberg Duality from Geometric Transitions in M-theory,0.485477
de Sitter vacua in type IIB string theory: classical solutions and quantum corrections,"Toward large<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi>N</mml:mi></mml:math>thermal QCD from dual gravity: The heavy quarkonium potential",0.44888
de Sitter vacua in type IIB string theory: classical solutions and quantum corrections,Fermions on the antibrane: Higher order interactions and spontaneously broken supersymmetry,0.570034
de Sitter vacua in type IIB string theory: classical solutions and quantum corrections,"Nonextremality, chemical potential, and the infrared limit of large<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi>N</mml:mi></mml:math>thermal QCD",0.482852
de Sitter vacua in type IIB string theory: classical solutions and quantum corrections,"Non-Kähler resolved conifold, localized fluxes in M-theory and supersymmetry",0.61119
de Sitter vacua in type IIB string theory: classical solutions and quantum corrections,"Ultraviolet complete model of large<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi>N</mml:mi></mml:math>thermal QCD",0.224834
de Sitter vacua in type IIB string theory: classical solutions and quantum corrections,Coherent states in M-theory: A brane scan using the Taub-NUT geometry,0.568013
de Sitter vacua in type IIB string theory: classical solutions and quantum corrections,Study of structure formation and reheating in the D3/D7 brane inflation model,0.380209
de Sitter vacua in type IIB string theory: classical solutions and quantum corrections,KÄHLER VERSUS NON-KÄHLER COMPACTIFICATIONS,0.351816
de Sitter vacua in type IIB string theory: classical solutions and quantum corrections,Magnetic fields from heterotic cosmic strings,0.449999
de Sitter vacua in type IIB string theory: classical solutions and quantum corrections,Toward the gravity dual of heterotic small instantons,0.565194
de Sitter vacua in type IIB string theory: classical solutions and quantum corrections,A holographic model for large N thermal QCD,0.421095
de Sitter vacua in type IIB string theory: classical solutions and quantum corrections,"Renormalization group flow, stability, and bulk viscosity in a large <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi>N</mml:mi></mml:math> thermal QCD model",0.393288
de Sitter vacua in type IIB string theory: classical solutions and quantum corrections,"Geometric Transitions, Non-Kahler Geometries and String Vacua",0.432245
de Sitter vacua in type IIB string theory: classical solutions and quantum corrections,The Double Life of Thermal QCD,0.363691
de Sitter vacua in type IIB string theory: classical solutions and quantum corrections,"Non-Kähler deformed conifold, ultraviolet completion and supersymmetric constraints in the baryonic branch",0.558323
de Sitter vacua in type IIB string theory: classical solutions and quantum corrections,Four-Dimensional Null Energy Condition as a Swampland Conjecture,0.591055
de Sitter vacua in type IIB string theory: classical solutions and quantum corrections,The BPS Spectrum of M-Theory on a PP-Wave,0.352136
de Sitter vacua in type IIB string theory: classical solutions and quantum corrections,Kahler versus Non-Kahler Compactifications,0.351816
de Sitter vacua in type IIB string theory: classical solutions and quantum corrections,Resurgence of a de Sitter Glauber-Sudarshan State: Nodal Diagrams and Borel Resummation,0.590681
de Sitter vacua in type IIB string theory: classical solutions and quantum corrections,de Sitter Vacua in the String landscape: La Petite Version,0.62302
de Sitter vacua in type IIB string theory: classical solutions and quantum corrections,"Infrared dynamics of a large N QCD model, the massless string sector and mesonic spectra",0.45565
de Sitter vacua in type IIB string theory: classical solutions and quantum corrections,"Axions from heterotic stringThis paper was presented at the Theory CANADA 4 conference, held at Centre de recherches mathématiques, Montréal, Québec, Canada on 4–7 June 2008.",0.447275
