title_i,title_j,cosine_similarity
Prevalence of atopic dermatitis in Japanese elementary schoolchildren,Structural and geometrical features of copper seed cones observed by high-resolution electron microscopy,0.030223
Prevalence of atopic dermatitis in Japanese elementary schoolchildren,[Studies of isolated organisms from otorhinolaryngological infections and their susceptibilities to macrolide antibiotics].,0.108346
Prevalence of atopic dermatitis in Japanese elementary schoolchildren,ChemInform Abstract: SYNTHESES AND UNCOUPLING ACTIVITIES OF ALKYL DITHIOCARBAZATES AND ALKYL PYRIDINECARBONYLDITHIOCARBAZATES,0.089453
Prevalence of atopic dermatitis in Japanese elementary schoolchildren,Relaxed or Tense? Mutual Biosignal Transmission with Heartbeat Vibrations during Online Gameplay,0.034036
Prevalence of atopic dermatitis in Japanese elementary schoolchildren,Speak or shout? Nonverbal vocalizations ensure rapid detection of emotions in vocal communication,0.050843
Structural and geometrical features of copper seed cones observed by high-resolution electron microscopy,[Studies of isolated organisms from otorhinolaryngological infections and their susceptibilities to macrolide antibiotics].,0.009308
Structural and geometrical features of copper seed cones observed by high-resolution electron microscopy,ChemInform Abstract: SYNTHESES AND UNCOUPLING ACTIVITIES OF ALKYL DITHIOCARBAZATES AND ALKYL PYRIDINECARBONYLDITHIOCARBAZATES,0.087178
Structural and geometrical features of copper seed cones observed by high-resolution electron microscopy,Relaxed or Tense? Mutual Biosignal Transmission with Heartbeat Vibrations during Online Gameplay,-0.040813
Structural and geometrical features of copper seed cones observed by high-resolution electron microscopy,Speak or shout? Nonverbal vocalizations ensure rapid detection of emotions in vocal communication,-0.008384
[Studies of isolated organisms from otorhinolaryngological infections and their susceptibilities to macrolide antibiotics].,ChemInform Abstract: SYNTHESES AND UNCOUPLING ACTIVITIES OF ALKYL DITHIOCARBAZATES AND ALKYL PYRIDINECARBONYLDITHIOCARBAZATES,-0.009861
[Studies of isolated organisms from otorhinolaryngological infections and their susceptibilities to macrolide antibiotics].,Relaxed or Tense? Mutual Biosignal Transmission with Heartbeat Vibrations during Online Gameplay,-0.036069
[Studies of isolated organisms from otorhinolaryngological infections and their susceptibilities to macrolide antibiotics].,Speak or shout? Nonverbal vocalizations ensure rapid detection of emotions in vocal communication,0.029395
ChemInform Abstract: SYNTHESES AND UNCOUPLING ACTIVITIES OF ALKYL DITHIOCARBAZATES AND ALKYL PYRIDINECARBONYLDITHIOCARBAZATES,Relaxed or Tense? Mutual Biosignal Transmission with Heartbeat Vibrations during Online Gameplay,-0.045966
ChemInform Abstract: SYNTHESES AND UNCOUPLING ACTIVITIES OF ALKYL DITHIOCARBAZATES AND ALKYL PYRIDINECARBONYLDITHIOCARBAZATES,Speak or shout? Nonverbal vocalizations ensure rapid detection of emotions in vocal communication,0.010311
Relaxed or Tense? Mutual Biosignal Transmission with Heartbeat Vibrations during Online Gameplay,Speak or shout? Nonverbal vocalizations ensure rapid detection of emotions in vocal communication,0.327952
