title_i,title_j,cosine_similarity
Direct deoxygenative borylation of carboxylic acids,Understanding Terminal versus Bridging End-on N<sub>2</sub> Coordination in Transition Metal Complexes,0.341922
Direct deoxygenative borylation of carboxylic acids,Light-driven transition-metal-free direct decarbonylation of unstrained diaryl ketones via a dual C–C bond cleavage,0.619356
Direct deoxygenative borylation of carboxylic acids,Machine Learning for High-Throughput Configuration Sampling of Li−La−Ti−O Disordered Solid-State Electrolyte,0.242035
Direct deoxygenative borylation of carboxylic acids,H<sub>2</sub>Addition to Pincer Iridium Complexes Yielding<i>trans-</i>Dihydride Products: Unexpected Correlations of Bond Strength with Bond Length and Vibrational Frequencies,0.432217
Direct deoxygenative borylation of carboxylic acids,Dimerization of Aldehydes into Esters by an Octahedral d<sup>6</sup>-Rhodium <i>cis</i>-Dihydride Catalyst: Inner- versus Outer-Sphere Mechanisms,0.487098
Direct deoxygenative borylation of carboxylic acids,Calculations on the non-classical β-hydride elimination observed in <i>trans</i>-(H)(OMe)-Ir(Ph)(PMe<sub>3</sub>)<sub>3</sub>: possible production and reaction of methyl formate,0.497818
Direct deoxygenative borylation of carboxylic acids,Communication of Deaf people Based on Myoware Muscle Sensor,0.022391
Direct deoxygenative borylation of carboxylic acids,Tunability of transport properties in semi-exfoliated Ag<sub><i>x</i></sub>CoO<sub>2−<i>δ</i></sub> (0.4 &lt; <i>x</i> &lt; 1) crystals,0.160742
Understanding Terminal versus Bridging End-on N<sub>2</sub> Coordination in Transition Metal Complexes,Light-driven transition-metal-free direct decarbonylation of unstrained diaryl ketones via a dual C–C bond cleavage,0.443814
Understanding Terminal versus Bridging End-on N<sub>2</sub> Coordination in Transition Metal Complexes,Machine Learning for High-Throughput Configuration Sampling of Li−La−Ti−O Disordered Solid-State Electrolyte,0.224212
Understanding Terminal versus Bridging End-on N<sub>2</sub> Coordination in Transition Metal Complexes,H<sub>2</sub>Addition to Pincer Iridium Complexes Yielding<i>trans-</i>Dihydride Products: Unexpected Correlations of Bond Strength with Bond Length and Vibrational Frequencies,0.540507
Understanding Terminal versus Bridging End-on N<sub>2</sub> Coordination in Transition Metal Complexes,Dimerization of Aldehydes into Esters by an Octahedral d<sup>6</sup>-Rhodium <i>cis</i>-Dihydride Catalyst: Inner- versus Outer-Sphere Mechanisms,0.4843
Understanding Terminal versus Bridging End-on N<sub>2</sub> Coordination in Transition Metal Complexes,Calculations on the non-classical β-hydride elimination observed in <i>trans</i>-(H)(OMe)-Ir(Ph)(PMe<sub>3</sub>)<sub>3</sub>: possible production and reaction of methyl formate,0.512509
Understanding Terminal versus Bridging End-on N<sub>2</sub> Coordination in Transition Metal Complexes,Communication of Deaf people Based on Myoware Muscle Sensor,0.03493
Understanding Terminal versus Bridging End-on N<sub>2</sub> Coordination in Transition Metal Complexes,Tunability of transport properties in semi-exfoliated Ag<sub><i>x</i></sub>CoO<sub>2−<i>δ</i></sub> (0.4 &lt; <i>x</i> &lt; 1) crystals,0.157171
Light-driven transition-metal-free direct decarbonylation of unstrained diaryl ketones via a dual C–C bond cleavage,Machine Learning for High-Throughput Configuration Sampling of Li−La−Ti−O Disordered Solid-State Electrolyte,0.162452
Light-driven transition-metal-free direct decarbonylation of unstrained diaryl ketones via a dual C–C bond cleavage,H<sub>2</sub>Addition to Pincer Iridium Complexes Yielding<i>trans-</i>Dihydride Products: Unexpected Correlations of Bond Strength with Bond Length and Vibrational Frequencies,0.493424
Light-driven transition-metal-free direct decarbonylation of unstrained diaryl ketones via a dual C–C bond cleavage,Dimerization of Aldehydes into Esters by an Octahedral d<sup>6</sup>-Rhodium <i>cis</i>-Dihydride Catalyst: Inner- versus Outer-Sphere Mechanisms,0.562383
Light-driven transition-metal-free direct decarbonylation of unstrained diaryl ketones via a dual C–C bond cleavage,Calculations on the non-classical β-hydride elimination observed in <i>trans</i>-(H)(OMe)-Ir(Ph)(PMe<sub>3</sub>)<sub>3</sub>: possible production and reaction of methyl formate,0.633239
Light-driven transition-metal-free direct decarbonylation of unstrained diaryl ketones via a dual C–C bond cleavage,Communication of Deaf people Based on Myoware Muscle Sensor,0.028166
Light-driven transition-metal-free direct decarbonylation of unstrained diaryl ketones via a dual C–C bond cleavage,Tunability of transport properties in semi-exfoliated Ag<sub><i>x</i></sub>CoO<sub>2−<i>δ</i></sub> (0.4 &lt; <i>x</i> &lt; 1) crystals,0.084863
Machine Learning for High-Throughput Configuration Sampling of Li−La−Ti−O Disordered Solid-State Electrolyte,H<sub>2</sub>Addition to Pincer Iridium Complexes Yielding<i>trans-</i>Dihydride Products: Unexpected Correlations of Bond Strength with Bond Length and Vibrational Frequencies,0.274288
Machine Learning for High-Throughput Configuration Sampling of Li−La−Ti−O Disordered Solid-State Electrolyte,Dimerization of Aldehydes into Esters by an Octahedral d<sup>6</sup>-Rhodium <i>cis</i>-Dihydride Catalyst: Inner- versus Outer-Sphere Mechanisms,0.217651
Machine Learning for High-Throughput Configuration Sampling of Li−La−Ti−O Disordered Solid-State Electrolyte,Calculations on the non-classical β-hydride elimination observed in <i>trans</i>-(H)(OMe)-Ir(Ph)(PMe<sub>3</sub>)<sub>3</sub>: possible production and reaction of methyl formate,0.203371
Machine Learning for High-Throughput Configuration Sampling of Li−La−Ti−O Disordered Solid-State Electrolyte,Communication of Deaf people Based on Myoware Muscle Sensor,0.006068
Machine Learning for High-Throughput Configuration Sampling of Li−La−Ti−O Disordered Solid-State Electrolyte,Tunability of transport properties in semi-exfoliated Ag<sub><i>x</i></sub>CoO<sub>2−<i>δ</i></sub> (0.4 &lt; <i>x</i> &lt; 1) crystals,0.357367
H<sub>2</sub>Addition to Pincer Iridium Complexes Yielding<i>trans-</i>Dihydride Products: Unexpected Correlations of Bond Strength with Bond Length and Vibrational Frequencies,Dimerization of Aldehydes into Esters by an Octahedral d<sup>6</sup>-Rhodium <i>cis</i>-Dihydride Catalyst: Inner- versus Outer-Sphere Mechanisms,0.677859
