title_i,title_j,cosine_similarity
Validation of the Gurney Model in Planar Geometry for a Conventional Explosive,Reduction of ejecta from asperities on a metal surface upon shock breakout,0.608626
Validation of the Gurney Model in Planar Geometry for a Conventional Explosive,Scaling of the propulsive capability of aluminized gelled nitromethane,0.680595
Validation of the Gurney Model in Planar Geometry for a Conventional Explosive,The effect of detonation wave incidence angle on the acceleration of flyers by explosives heavily laden with inert additives,0.84433
Validation of the Gurney Model in Planar Geometry for a Conventional Explosive,Ejecta from liquid gallium during planar impact experiments,0.534839
Validation of the Gurney Model in Planar Geometry for a Conventional Explosive,Influence of thick surface coatings on jet formation in flyer plate impacts,0.666562
Reduction of ejecta from asperities on a metal surface upon shock breakout,Scaling of the propulsive capability of aluminized gelled nitromethane,0.521055
Reduction of ejecta from asperities on a metal surface upon shock breakout,The effect of detonation wave incidence angle on the acceleration of flyers by explosives heavily laden with inert additives,0.70115
Reduction of ejecta from asperities on a metal surface upon shock breakout,Ejecta from liquid gallium during planar impact experiments,0.738335
Reduction of ejecta from asperities on a metal surface upon shock breakout,Influence of thick surface coatings on jet formation in flyer plate impacts,0.599123
Scaling of the propulsive capability of aluminized gelled nitromethane,The effect of detonation wave incidence angle on the acceleration of flyers by explosives heavily laden with inert additives,0.795452
Scaling of the propulsive capability of aluminized gelled nitromethane,Ejecta from liquid gallium during planar impact experiments,0.582232
Scaling of the propulsive capability of aluminized gelled nitromethane,Influence of thick surface coatings on jet formation in flyer plate impacts,0.469264
The effect of detonation wave incidence angle on the acceleration of flyers by explosives heavily laden with inert additives,Ejecta from liquid gallium during planar impact experiments,0.624861
The effect of detonation wave incidence angle on the acceleration of flyers by explosives heavily laden with inert additives,Influence of thick surface coatings on jet formation in flyer plate impacts,0.680003
Ejecta from liquid gallium during planar impact experiments,Influence of thick surface coatings on jet formation in flyer plate impacts,0.612539
